pickup_spot,dropoff_spot,min_dep_time
63328,81005,4
49237,67932,4
158660,66849,7
127684,114104,8
81575,23230,19
66210,147177,20
108296,24055,23
36926,27310,23
147562,45913,24
121664,78747,26
142913,73860,28
3182,107839,29
153247,46848,31
2925,64111,31
104246,8238,35
101788,48027,35
57903,104287,37
80034,123575,37
35225,93673,42
66822,57752,45
77413,94741,47
21913,138149,47
102339,1386,48
139001,120086,48
44322,52177,48
30328,11024,49
62721,1831,50
32336,35931,51
40387,91690,56
79112,66782,57
56296,153992,57
118019,145102,57
2981,118809,59
63664,107787,61
122102,17180,61
35021,35475,61
74732,80314,61
112004,153225,62
114429,121898,64
159652,157103,66
107618,40002,66
87628,141864,67
65646,129235,68
72261,104784,68
35191,23607,69
127739,34276,71
62727,75473,72
142021,70058,72
51203,136901,72
63226,60247,73
133258,147167,79
116765,40676,81
37405,53378,81
17735,18281,83
158585,115297,88
17313,1641,89
78202,103672,94
65638,1784,95
100892,74302,95
84665,40415,96
3303,159507,100
106624,144707,100
134087,126898,102
100982,77529,102
84921,123744,104
136024,138149,121
123381,144721,122
7898,146679,125
1641,136656,126
159041,47100,128
34296,84979,139
44719,122591,143
76128,148917,149
19876,18309,159
157451,157442,163
135868,82134,177
110416,28272,197
100186,43635,204
98363,51291,219
40049,103386,238
147177,66210,456
42819,13703,527
124616,31409,557
64111,72710,585
86831,125859,589
104784,72261,625
103672,78202,660
120086,139001,667
123575,91833,669
147167,133258,688
53378,37405,697
151974,36625,700
157103,159652,706
28272,66863,737
81005,63328,738
67932,49237,740
147926,47680,748
121619,10753,751
114104,127684,770
138149,129453,770
84979,34296,807
70794,41723,819
60247,63226,838
144707,106624,848
27310,36926,856
101844,113827,863
93673,35225,870
35931,32336,907
144721,123381,918
18309,19876,943
91690,75756,954
18281,17735,981
121898,114429,995
75473,62727,1032
54374,70334,1040
45913,147562,1064
72710,88068,1071
73860,142913,1080
107839,3182,1129
1831,62721,1183
153992,56296,1203
82134,135868,1207
158427,38712,1228
70058,142021,1262
1641,17313,1262
118809,2981,1266
74302,100892,1274
51936,111269,1304
106159,133562,1307
46848,153247,1311
145102,118019,1316
11024,30328,1344
8435,81961,1406
108552,108478,1438
13703,42819,1460
20064,156084,1502
36625,151974,1518
23230,81575,1564
88068,2925,1581
437,1714,1603
21570,75183,1604
129851,105654,1615
140155,97239,1618
66849,16965,1635
156892,20478,1650
59684,21671,1674
33879,121501,1678
27065,150515,1692
96741,85008,1695
34276,127739,1714
66782,79112,1752
23607,35191,1752
126898,134087,1796
94741,37131,1800
